route_distance_km,schedule_overlap_days,capacity_ratio,semantic_similarity,match_berhasil
274.95,0.0,1.7969,1.0,0
1399.01,4.0,1.5625,1.0,0
274.95,0.0,0.1875,1.0,0
14.77,2.0,0.9531,1.0,1
465.05,0.0,1.1719,1.0,0
7.85,1.0,0.125,1.0,1
0.0,0.0,0.3281,1.0,0
116.46,4.0,1.0469,1.0,0
465.05,0.0,2.0625,1.0,0
664.48,4.0,0.5781,1.0,0
197.79,0.0,0.875,1.0,0
24.87,0.0,0.7656,1.0,1
55.59,0.0,0.2344,1.0,1
269.98,0.0,0.2578,1.0,0
0.0,0.0,0.0625,1.0,0
36.54,0.0,0.5625,1.0,0
41.17,0.0,0.4062,1.0,0
0.0,0.0,0.1562,1.0,0
21.98,1.0,0.3516,1.0,1
21.98,2.0,0.5391,1.0,1
269.98,2.0,0.0859,1.0,0
196.45,0.0,0.4141,1.0,0
55.59,1.0,0.5625,1.0,1
24.87,0.0,0.2344,1.0,0
0.0,0.0,0.2578,1.0,0
426.41,1.0,0.6406,1.0,0
269.98,0.0,0.0859,1.0,0
0.0,0.0,0.3984,1.0,0
55.59,0.0,0.0781,1.0,0
23.85,4.0,0.5859,1.0,1
41.17,4.0,0.6562,1.0,1
196.45,0.0,0.3203,1.0,0
21.98,2.0,0.7109,1.0,1
24.87,2.0,0.5859,1.0,1
269.98,0.0,0.6328,1.0,0
250.65,0.0,0.9219,1.0,0
0.0,2.0,0.6562,1.0,1
41.17,0.0,0.1484,1.0,0
86.18,0.0,0.4922,1.0,0
956.36,0.0,0.7734,1.0,0
21.98,0.0,0.3594,1.0,1
55.59,0.0,0.3516,1.0,0
1416.57,0.0,0.0859,1.0,0
956.36,0.0,0.0625,1.0,0
2.94,0.0,0.4453,1.0,0
21.98,0.0,0.0859,1.0,0
250.65,0.0,0.2109,1.0,0
1043.87,1.0,0.375,1.0,0
956.36,1.0,0.1484,1.0,0
269.98,3.0,0.1328,1.0,0
86.18,4.0,0.2812,1.0,1
250.65,0.0,0.8281,1.0,0
0.0,0.0,0.4766,1.0,0
21.98,0.0,0.6953,1.0,0
23.85,0.0,0.2344,1.0,0
36.54,0.0,0.1484,1.0,0
956.36,0.0,0.2969,1.0,0
2.94,1.0,0.8203,1.0,1
55.59,0.0,0.2656,1.0,0
36.54,1.0,0.3125,1.0,1
24.87,0.0,0.8125,1.0,0
0.0,2.0,0.2578,1.0,1
21.98,1.0,0.3203,1.0,1
196.45,0.0,0.1719,1.0,0
21.98,0.0,0.6875,1.0,0
21.98,0.0,0.8359,1.0,0
36.54,0.0,0.6875,1.0,0
250.65,0.0,0.3281,1.0,0
1043.87,0.0,0.8125,1.0,0
21.98,0.0,0.1406,1.0,0
1043.87,0.0,0.6016,1.0,0
0.0,0.0,0.1484,1.0,1
55.59,0.0,0.0937,1.0,0
269.98,4.0,0.7891,1.0,0
2.94,2.0,0.4141,1.0,1
24.87,0.0,0.1562,1.0,0
956.36,1.0,0.3281,1.0,0
55.59,0.0,0.7344,1.0,0
1043.87,0.0,0.8125,1.0,0
426.41,0.0,0.2969,1.0,0
250.65,1.0,0.0937,1.0,0
24.87,0.0,0.4531,1.0,0
0.0,0.0,0.1875,1.0,1
86.18,3.0,0.4375,1.0,1
250.65,0.0,0.2422,1.0,0
21.98,0.0,0.0469,1.0,0
86.18,0.0,0.6484,1.0,0
0.0,1.0,0.5625,1.0,1
36.54,0.0,0.9141,1.0,0
956.36,0.0,0.4453,1.0,0
269.98,0.0,0.5234,1.0,0
269.98,0.0,0.0625,1.0,0
269.98,0.0,0.0781,1.0,0
2.94,1.0,0.7031,1.0,1
2.94,0.0,0.2891,1.0,0
196.45,0.0,0.3594,1.0,0
269.98,0.0,0.1875,1.0,0
23.85,2.0,0.5625,1.0,1
1416.57,0.0,0.1562,1.0,0
0.0,1.0,0.5156,1.0,1
1416.57,0.0,0.0937,1.0,0
196.45,3.0,0.9375,1.0,0
86.18,0.0,0.1562,1.0,0
86.18,0.0,0.625,1.0,0
23.85,0.0,0.4219,1.0,0
269.98,0.0,0.125,1.0,0
55.59,0.0,0.5625,1.0,0
0.0,0.0,0.1797,1.0,0
36.54,0.0,0.7656,1.0,0
1416.57,0.0,0.8672,1.0,0
2.94,3.0,0.125,1.0,1
36.54,0.0,0.1172,1.0,0
0.0,2.0,0.1719,1.0,1
36.54,0.0,0.1328,1.0,0
0.0,0.0,0.7266,1.0,0
36.54,0.0,0.0859,1.0,0
269.98,0.0,0.0547,1.0,0
250.65,1.0,0.4531,1.0,0
86.18,0.0,0.5703,1.0,0
250.65,1.0,0.5156,1.0,0
36.54,0.0,0.1953,1.0,0
0.0,0.0,0.4453,1.0,0
21.98,0.0,0.2891,1.0,0
21.98,0.0,0.6172,1.0,0
2.94,0.0,0.8125,1.0,0
55.59,0.0,0.1953,1.0,0
36.54,0.0,0.6484,1.0,0
269.98,0.0,0.8594,1.0,0
36.54,0.0,0.3359,1.0,0
196.45,0.0,0.3203,1.0,0
86.18,1.0,0.1328,1.0,1
0.0,1.0,0.0859,1.0,1
24.87,1.0,0.25,1.0,1
1416.57,2.0,0.3828,1.0,0
1416.57,3.0,0.5391,1.0,0
956.36,0.0,0.1719,1.0,0
23.85,0.0,0.375,1.0,0
0.0,3.0,0.7812,1.0,1
86.18,0.0,0.5312,1.0,1
23.85,1.0,0.4531,1.0,1
0.0,1.0,0.3594,1.0,1
0.0,0.0,0.6094,1.0,0
36.54,3.0,0.7344,1.0,1
41.17,2.0,0.5078,1.0,1
956.36,0.0,0.25,1.0,0
41.17,3.0,0.2109,1.0,1
23.85,0.0,0.3828,1.0,0
36.54,0.0,0.5781,1.0,0
250.65,0.0,0.1016,1.0,0
36.54,3.0,0.8906,1.0,1
36.54,1.0,0.4297,1.0,1
24.87,1.0,0.7109,1.0,1
0.0,3.0,0.8984,1.0,1
55.59,0.0,0.6328,1.0,0
2.94,0.0,0.2969,1.0,0
1043.87,0.0,0.3047,1.0,0
269.98,3.0,0.1641,1.0,0
55.59,0.0,0.6797,1.0,0
1416.57,0.0,0.0859,1.0,0
36.54,0.0,0.1094,1.0,0
250.65,1.0,0.4531,1.0,0
0.0,0.0,0.5859,1.0,0
0.0,0.0,0.6094,1.0,0
21.98,0.0,0.3047,1.0,0
86.18,0.0,0.3672,1.0,0
36.54,0.0,0.2578,1.0,0
2.94,3.0,0.9062,1.0,1
23.85,0.0,0.3047,1.0,0
24.87,2.0,0.8203,1.0,1
21.98,0.0,0.5234,1.0,0
36.54,4.0,0.5391,1.0,1
250.65,2.0,0.3359,1.0,0
0.0,0.0,0.3125,1.0,0
1416.57,0.0,0.9141,1.0,0
956.36,0.0,0.25,1.0,0
2.94,0.0,0.1484,1.0,0
36.54,0.0,0.5391,1.0,0
269.98,0.0,0.75,1.0,0
24.87,2.0,1.0,1.0,1
23.85,0.0,0.8672,1.0,1
23.85,2.0,0.2422,1.0,1
86.18,0.0,0.8203,1.0,1
426.41,0.0,0.2969,1.0,0
269.98,1.0,0.875,1.0,0
86.18,0.0,0.875,1.0,0
269.98,0.0,0.2109,1.0,0
1416.57,0.0,0.125,1.0,0
269.98,0.0,0.2031,1.0,0
21.98,0.0,0.2109,1.0,0
55.59,0.0,0.3125,1.0,1
426.41,0.0,0.8984,1.0,0
1043.87,0.0,0.7812,1.0,0
426.41,4.0,0.0937,1.0,0
2.94,0.0,0.4766,1.0,0
55.59,0.0,0.5859,1.0,1
23.85,0.0,0.0625,1.0,0
196.45,4.0,0.1641,1.0,0
36.54,0.0,0.5234,1.0,0
55.59,3.0,1.0312,1.0,0
269.98,0.0,0.2891,1.0,0
24.87,1.0,0.4375,1.0,1
1128.75,4.0,3.92,1.0,0
1376.28,0.0,1.2,1.0,0
1525.99,0.0,1.32,1.0,0
1356.23,2.0,0.32,1.0,0
1074.46,0.0,2.88,1.0,0
990.33,0.0,2.08,1.0,0
958.92,0.0,0.8,1.0,0
972.31,2.0,1.8,1.0,0
972.31,0.0,2.76,1.0,0
1525.99,3.0,0.44,1.0,0
782.62,1.0,2.12,1.0,0
1376.28,0.0,2.88,1.0,0
1128.75,0.0,1.2,1.0,0
1356.23,0.0,1.32,1.0,0
536.09,0.0,3.28,1.0,0
1525.99,1.0,0.44,1.0,0
958.92,0.0,2.04,1.0,0
1376.28,1.0,0.4,1.0,0
941.53,1.0,3.0,1.0,0
990.33,0.0,3.36,1.0,0
782.62,3.0,1.64,1.0,0
972.31,0.0,3.64,1.0,0
1128.75,0.0,3.0,1.0,0
1525.99,0.0,3.24,1.0,0
1562.12,2.0,4.72,1.0,0
1356.23,4.0,3.36,1.0,0
990.33,0.0,0.76,1.0,0
1299.14,0.0,2.52,1.0,0
0.0,0.0,3.96,1.0,0
972.31,2.0,1.84,1.0,0
1376.28,0.0,1.8,1.0,0
0.0,0.0,0.44,1.0,1
0.0,0.0,0.32,1.0,1
970.58,0.0,2.28,1.0,0
972.31,0.0,0.44,1.0,0
1562.12,0.0,1.08,1.0,0
2097.49,0.0,1.92,1.0,0
0.0,1.0,0.76,1.0,1
1525.99,0.0,0.68,1.0,0
1299.14,2.0,1.44,1.0,0
1562.12,3.0,4.24,1.0,0
1356.23,1.0,2.44,1.0,0
972.31,2.0,3.56,1.0,0
941.53,0.0,1.2,1.0,0
1074.46,0.0,0.76,1.0,0
0.0,1.0,1.52,1.0,0
970.58,0.0,4.2,1.0,0
1376.28,0.0,1.36,1.0,0
1074.46,0.0,1.6,1.0,0
1128.75,0.0,4.16,1.0,0
958.92,0.0,1.32,1.0,0
972.31,1.0,1.64,1.0,0
782.62,0.0,0.88,1.0,0
972.31,0.0,3.52,1.0,0
972.31,1.0,4.28,1.0,0
1074.46,3.0,3.52,1.0,0
1562.12,2.0,1.68,1.0,0
2097.49,0.0,4.16,1.0,0
972.31,1.0,0.72,1.0,0
2097.49,0.0,3.08,1.0,0
958.92,2.0,0.76,1.0,0
1376.28,1.0,0.48,1.0,0
1525.99,2.0,4.04,1.0,0
970.58,2.0,2.12,1.0,0
1128.75,0.0,0.8,1.0,0
0.0,4.0,1.68,1.0,0
1376.28,1.0,3.76,1.0,0
2097.49,3.0,4.16,1.0,0
536.09,0.0,1.52,1.0,0
1562.12,3.0,0.48,1.0,0
1128.75,0.0,2.32,1.0,0
1356.23,1.0,0.96,1.0,0
1299.14,0.0,2.24,1.0,0
1562.12,2.0,1.24,1.0,0
972.31,0.0,0.24,1.0,0
1299.14,0.0,3.32,1.0,0
1356.23,0.0,2.88,1.0,0
1074.46,0.0,4.68,1.0,0
0.0,0.0,2.28,1.0,0
1525.99,1.0,2.68,1.0,0
1525.99,0.0,0.32,1.0,0
1525.99,0.0,0.4,1.0,0
970.58,2.0,3.6,1.0,0
970.58,0.0,1.48,1.0,0
782.62,1.0,1.84,1.0,0
1525.99,0.0,0.96,1.0,0
941.53,0.0,2.88,1.0,0
0.0,0.0,0.8,1.0,0
958.92,0.0,2.64,1.0,0
0.0,1.0,0.48,1.0,1
782.62,0.0,4.8,1.0,0
1299.14,0.0,0.8,1.0,0
1299.14,0.0,3.2,1.0,0
941.53,3.0,2.16,1.0,0
1525.99,0.0,0.64,1.0,0
1376.28,0.0,2.88,1.0,0
958.92,3.0,0.92,1.0,0
1074.46,0.0,3.92,1.0,0
0.0,1.0,4.44,1.0,0
970.58,0.0,0.64,1.0,0
1074.46,2.0,0.6,1.0,0
1356.23,0.0,0.88,1.0,0
1074.46,1.0,0.68,1.0,0
958.92,1.0,3.72,1.0,0
1074.46,0.0,0.44,1.0,0
1525.99,1.0,0.28,1.0,0
1562.12,0.0,2.32,1.0,0
1299.14,1.0,2.92,1.0,0
1562.12,3.0,2.64,1.0,0
1074.46,0.0,1.0,1.0,0
958.92,0.0,2.28,1.0,0
972.31,0.0,1.48,1.0,0
972.31,0.0,3.16,1.0,0
970.58,0.0,4.16,1.0,0
1376.28,2.0,1.0,1.0,0
1074.46,0.0,3.32,1.0,0
1525.99,0.0,4.4,1.0,0
1074.46,0.0,1.72,1.0,0
782.62,0.0,1.64,1.0,0
1299.14,2.0,0.68,1.0,0
1356.23,1.0,0.44,1.0,0
1128.75,4.0,1.28,1.0,0
0.0,3.0,1.96,1.0,0
0.0,1.0,2.76,1.0,0
0.0,1.0,0.88,1.0,1
941.53,0.0,1.92,1.0,0
958.92,0.0,4.0,1.0,0
1299.14,0.0,2.72,1.0,0
941.53,0.0,2.32,1.0,0
1356.23,0.0,1.84,1.0,0
958.92,1.0,3.12,1.0,0
1074.46,0.0,3.76,1.0,0
990.33,3.0,2.6,1.0,0
0.0,1.0,1.28,1.0,0
990.33,2.0,1.08,1.0,0
941.53,2.0,1.96,1.0,0
1074.46,0.0,2.96,1.0,0
1562.12,2.0,0.52,1.0,0
1074.46,0.0,4.56,1.0,0
1074.46,0.0,2.2,1.0,0
1128.75,0.0,3.64,1.0,0
958.92,1.0,4.6,1.0,0
1376.28,2.0,3.24,1.0,0
970.58,1.0,1.52,1.0,0
2097.49,3.0,1.56,1.0,0
1525.99,2.0,0.84,1.0,0
1376.28,0.0,3.48,1.0,0
0.0,0.0,0.44,1.0,0
1074.46,0.0,0.56,1.0,0
1562.12,0.0,2.32,1.0,0
1356.23,0.0,3.0,1.0,0
958.92,0.0,3.12,1.0,0
972.31,4.0,1.56,1.0,0
1299.14,1.0,1.88,1.0,0
1074.46,1.0,1.32,1.0,0
970.58,0.0,4.64,1.0,0
941.53,0.0,1.56,1.0,0
1128.75,1.0,4.2,1.0,0
972.31,1.0,2.68,1.0,0
1074.46,0.0,2.76,1.0,0
1562.12,4.0,1.72,1.0,0
1356.23,2.0,1.6,1.0,0
0.0,0.0,4.68,1.0,0
0.0,0.0,1.28,1.0,0
970.58,0.0,0.76,1.0,0
1074.46,2.0,2.76,1.0,0
1525.99,0.0,3.84,1.0,0
1128.75,2.0,5.12,1.0,0
941.53,2.0,4.44,1.0,0
941.53,0.0,1.24,1.0,0
1299.14,3.0,4.2,1.0,0
536.09,0.0,1.52,1.0,0
1525.99,1.0,4.48,1.0,0
1299.14,1.0,4.48,1.0,0
1525.99,0.0,1.08,1.0,0
0.0,3.0,0.64,1.0,1
1525.99,1.0,1.04,1.0,0
972.31,1.0,1.08,1.0,0
1376.28,3.0,1.6,1.0,0
536.09,1.0,4.6,1.0,0
2097.49,2.0,4.0,1.0,0
536.09,0.0,0.48,1.0,0
970.58,0.0,2.44,1.0,0
1376.28,1.0,3.0,1.0,0
941.53,1.0,0.32,1.0,0
782.62,0.0,0.84,1.0,0
1074.46,1.0,2.68,1.0,0
1376.28,0.0,5.28,1.0,0
1525.99,0.0,1.48,1.0,0
1128.75,0.0,2.24,1.0,0
17.53,1.0,0.7903,0.0,0
80.11,0.0,0.2419,0.0,0
260.28,2.0,0.2661,0.5387,0
92.42,3.0,0.0645,0.5476,1
59.28,0.0,0.5806,0.6018,1
43.19,1.0,0.4194,0.0,0
0.0,1.0,0.1613,0.2509,1
22.3,0.0,0.3629,0.0,0
22.3,0.0,0.5565,0.5904,0
260.28,0.0,0.0887,0.0,0
196.59,3.0,0.4274,0.0,0
80.11,0.0,0.5806,0.0,0
17.53,0.0,0.2419,0.3835,0
92.42,1.0,0.2661,0.2539,1
426.51,0.0,0.6613,0.0,0
260.28,2.0,0.0887,0.0,0
0.0,0.0,0.4113,0.0,0
80.11,0.0,0.0806,0.4824,1
23.87,0.0,0.6048,0.0,0
43.19,0.0,0.6774,0.3802,0
196.59,2.0,0.3306,0.5292,0
22.3,0.0,0.7339,0.0,0
17.53,0.0,0.6048,0.602,0
260.28,2.0,0.6532,0.0,0
269.53,0.0,0.9516,0.0,0
92.42,0.0,0.6774,0.0,0
43.19,2.0,0.1532,0.3886,1
0.0,1.0,0.5081,0.0,0
956.68,0.0,0.7984,0.6607,0
22.3,0.0,0.371,0.7995,0
80.11,2.0,0.3629,0.6443,1
1417.06,3.0,0.0887,0.6048,0
956.68,2.0,0.0645,0.0,0
0.21,2.0,0.4597,0.6018,1
22.3,3.0,0.0887,0.2509,1
269.53,2.0,0.2177,0.0,0
1017.39,0.0,0.3871,0.5504,0
956.68,0.0,0.1532,0.4462,0
260.28,0.0,0.1371,0.6018,0
0.0,0.0,0.2903,0.0,0
269.53,0.0,0.8548,0.0,0
92.42,3.0,0.4919,0.6243,1
22.3,3.0,0.7177,0.5292,1
23.87,3.0,0.2419,0.0,0
59.28,2.0,0.1532,0.0,0
956.68,1.0,0.3065,0.6603,0
0.21,0.0,0.8468,0.746,0
80.11,3.0,0.2742,0.0,0
59.28,0.0,0.3226,0.0,0
17.53,0.0,0.8387,0.0,0
0.0,0.0,0.2661,0.0,0
22.3,0.0,0.3306,0.0,0
196.59,0.0,0.1774,0.0,0
22.3,3.0,0.7097,0.3763,1
22.3,3.0,0.8629,0.0,0
59.28,1.0,0.7097,0.5773,1
269.53,1.0,0.3387,0.0,0
1017.39,3.0,0.8387,0.0,0
22.3,1.0,0.1452,0.0,0
1017.39,1.0,0.621,0.0,0
0.0,0.0,0.1532,0.4778,0
80.11,1.0,0.0968,0.0,0
260.28,0.0,0.8145,0.6538,0
0.21,0.0,0.4274,0.2545,0
17.53,2.0,0.1613,0.3416,1
956.68,0.0,0.3387,0.0,0
80.11,0.0,0.7581,0.2888,1
1017.39,3.0,0.8387,0.5292,0
426.51,1.0,0.3065,0.238,0
269.53,0.0,0.0968,0.2396,0
17.53,1.0,0.4677,0.4778,1
92.42,0.0,0.1935,0.0,0
0.0,0.0,0.4516,0.595,0
269.53,0.0,0.25,0.3763,0
22.3,1.0,0.0484,0.0,0
0.0,1.0,0.6694,0.2509,1
92.42,0.0,0.5806,0.4386,0
59.28,2.0,0.9435,0.0,0
956.68,0.0,0.4597,0.4923,0
260.28,3.0,0.5403,0.552,0
260.28,0.0,0.0645,0.0,0
260.28,0.0,0.0806,0.4611,0
0.21,0.0,0.7258,0.0,0
0.21,1.0,0.2984,0.0,0
196.59,1.0,0.371,0.0,0
260.28,1.0,0.1935,0.0,0
23.87,0.0,0.5806,0.2422,0
1417.06,0.0,0.1613,0.6048,0
0.0,0.0,0.5323,0.0,0
1417.06,1.0,0.0968,0.0,0
196.59,0.0,0.9677,0.0,0
0.0,1.0,0.1613,0.2574,1
0.0,4.0,0.6452,0.2422,1
23.87,3.0,0.4355,0.0,0
260.28,1.0,0.129,0.2639,0
80.11,2.0,0.5806,0.565,1
0.0,1.0,0.1855,0.0,0
59.28,1.0,0.7903,0.6798,1
1417.06,0.0,0.8952,0.0,0
0.21,0.0,0.129,0.0,0
59.28,3.0,0.121,0.0,0
92.42,0.0,0.1774,0.0,0
59.28,1.0,0.1371,0.3348,1
0.0,1.0,0.75,0.6018,1
59.28,1.0,0.0887,0.0,0
260.28,1.0,0.0565,0.0,0
269.53,0.0,0.4677,0.3886,0
0.0,1.0,0.5887,0.0,0
269.53,0.0,0.5323,0.0,0
59.28,0.0,0.2016,0.0,0
0.0,0.0,0.4597,0.0,0
22.3,1.0,0.2984,0.0,0
22.3,1.0,0.6371,0.5371,1
0.21,1.0,0.8387,0.5504,1
80.11,3.0,0.2016,0.0,0
59.28,0.0,0.6694,0.0,0
260.28,0.0,0.8871,0.0,0
59.28,0.0,0.3468,0.4862,0
196.59,1.0,0.3306,0.0,0
0.0,0.0,0.1371,0.0,0
92.42,0.0,0.0887,0.0,0
17.53,0.0,0.2581,0.4923,1
1417.06,0.0,0.3952,0.0,0
1417.06,0.0,0.5565,0.5429,0
956.68,0.0,0.1774,0.0,0
23.87,3.0,0.3871,0.3763,1
0.0,0.0,0.8065,0.0,0
0.0,0.0,0.5484,0.3763,0
23.87,0.0,0.4677,0.0,0
92.42,0.0,0.371,0.0,0
0.0,1.0,0.629,0.5819,1
59.28,0.0,0.7581,0.0,0
43.19,0.0,0.5242,0.0,0
956.68,0.0,0.2581,0.0,0
43.19,0.0,0.2177,0.0,0
23.87,4.0,0.3952,0.0,0
59.28,2.0,0.5968,0.238,1
269.53,2.0,0.1048,0.546,0
59.28,0.0,0.9194,0.0,0
59.28,0.0,0.4435,0.0,0
17.53,0.0,0.7339,0.0,0
0.0,0.0,0.9274,0.0,0
80.11,2.0,0.6532,0.0,0
0.21,0.0,0.3065,0.0,0
1017.39,2.0,0.3145,0.2455,0
260.28,0.0,0.1694,0.0,0
80.11,2.0,0.7016,0.546,1
1417.06,0.0,0.0887,0.0,0
59.28,0.0,0.1129,0.0,0
269.53,0.0,0.4677,0.0,0
92.42,0.0,0.6048,0.0,0
0.0,0.0,0.629,0.0,0
22.3,2.0,0.3145,0.0,0
0.0,0.0,0.379,0.0,0
59.28,2.0,0.2661,0.0,0
0.21,0.0,0.9355,0.0,0
23.87,0.0,0.3145,0.0,0
17.53,0.0,0.8468,0.3038,0
22.3,1.0,0.5403,0.0,0
59.28,0.0,0.5565,0.5476,0
269.53,0.0,0.3468,0.3348,0
92.42,1.0,0.3226,0.4504,1
1417.06,0.0,0.9435,0.0,0
956.68,3.0,0.2581,0.0,0
